Obs.	statenum	casenum	vnumber	pnumber	city	county	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
18965	45	726	2	2	0	51	10202016	20	10	2016	0	33.63663056	-78.99171111	64	2	0	0	0	3	4	0	1	18	22	2014	0	0	1	38	0	0	0	96	
18966	45	726	2	3	0	51	10202016	20	10	2016	0	33.63663056	-78.99171111	53	2	0	0	0	3	4	0	1	18	22	2014	0	0	1	38	0	0	0	96	
18967	45	726	2	4	0	51	10202016	20	10	2016	0	33.63663056	-78.99171111	79	2	0	0	0	3	4	0	1	18	22	2014	0	0	1	38	0	0	0	96	
18968	45	729	1	1	0	35	10202016	20	10	2016	0	32.97293889	-80.24961111	40	20	0	0	0	3	31	0	0	23	481	2008	0	0	1	0	0	0	0	96	
18969	45	729	2	1	0	35	10202016	20	10	2016	0	32.97293889	-80.24961111	45	8	0	0	0	3	15	0	1	45	421	2016	0	0	1	0	0	0	0	96	
18970	45	729	4	1	0	35	10202016	20	10	2016	0	32.97293889	-80.24961111	21	1	0	0	0	3	31	0	0	12	481	2010	0	0	1	28	8	0	0	96	
18971	45	731	2	1	0	63	10212016	21	10	2016	0	33.90041944	-81.34420000	24	20	0	0	0	3	4	0	0	63	34	2015	0	0	1	0	0	0	0	96	
18972	45	731	2	2	0	63	10212016	21	10	2016	0	33.90041944	-81.34420000	24	20	0	0	0	3	4	0	0	63	34	2015	0	0	1	0	0	0	0	96	
18973	45	733	1	1	0	35	10222016	22	10	2016	0	33.29033056	-80.51973889	22	20	0	0	0	3	4	0	1	49	40	2009	0	0	1	28	0	0	0	96	
18974	45	733	1	2	0	35	10222016	22	10	2016	0	33.29033056	-80.51973889	56	8	0	0	0	3	4	0	1	49	40	2009	0	0	1	28	0	0	0	96	
18975	45	737	1	1	0	41	10222016	22	10	2016	0	33.91243889	-79.76201944	41	2	0	0	0	7	4	0	1	12	23	2008	0	0	1	0	0	0	0	96	
18976	45	737	1	2	0	41	10222016	22	10	2016	0	33.91243889	-79.76201944	38	2	0	0	0	7	4	0	1	12	23	2008	0	0	1	0	0	0	0	96	
18977	45	738	1	1	0	51	10232016	23	10	2016	0	33.70680000	-78.92060000	58	8	0	0	0	3	14	0	0	37	402	2014	0	0	1	39	8	0	0	96	
18978	45	738	2	1	0	51	10232016	23	10	2016	0	33.70680000	-78.92060000	22	8	0	0	0	3	4	0	1	12	37	2012	0	0	1	0	0	0	0	96	
18979	45	738	2	2	0	51	10232016	23	10	2016	0	33.70680000	-78.92060000	22	2	0	0	0	3	4	0	1	12	37	2012	0	0	1	0	0	0	0	96	
18980	45	738	2	3	0	51	10232016	23	10	2016	0	33.70680000	-78.92060000	21	8	0	0	0	99	4	0	1	12	37	2012	0	0	1	0	0	0	0	96	
18981	45	738	2	4	0	51	10232016	23	10	2016	0	33.70680000	-78.92060000	0	8	0	0	0	4	4	0	1	12	37	2012	0	0	1	0	0	0	0	96	
18982	45	746	1	1	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	16	20	0	0	0	3	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18983	45	746	1	2	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	15	20	0	0	0	3	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18984	45	746	1	3	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	15	0	0	0	0	3	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18985	45	746	1	4	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	16	0	0	0	0	3	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18986	45	746	1	5	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	15	0	0	0	0	0	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
