statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,81,1,2,0,95,2/18/16,18,2,2016,0,34.36239444,-86.404,84,8,0,0,0,3,14,0,3,13,402,2015,0,0,1,38,0,0,0,99
1,81,1,3,0,95,2/18/16,18,2,2016,0,34.36239444,-86.404,77,8,0,0,0,7,14,0,3,13,402,2015,0,0,1,38,0,0,0,99
1,82,1,1,0,31,2/20/16,20,2,2016,0,31.48724444,-85.91289167,19,1,0,0,0,3,4,0,1,55,33,2011,0,0,1,28,0,0,0,15
1,82,1,2,0,31,2/20/16,20,2,2016,0,31.48724444,-85.91289167,19,1,0,0,0,3,4,0,1,55,33,2011,0,0,1,28,0,0,0,15
1,85,1,1,1200,77,2/21/16,21,2,2016,0,34.854775,-87.691725,56,20,0,0,0,3,31,0,0,12,481,2011,0,0,1,0,0,0,0,99
1,88,2,1,3050,125,2/23/16,23,2,2016,0,33.16998889,-87.49568611,49,1,0,0,0,3,31,0,0,12,481,2016,0,0,1,0,0,0,0,0
1,91,1,1,930,69,2/25/16,25,2,2016,0,31.16443611,-85.40206944,58,20,0,0,0,3,14,0,0,20,404,2012,0,0,1,0,0,0,0,0
1,94,1,1,0,97,2/26/16,26,2,2016,0,30.52230556,-88.30226111,28,1,0,0,0,7,31,0,1,20,481,2008,0,0,1,0,0,0,0,99
1,109,1,1,0,21,3/5/16,5,3,2016,0,33.04846111,-86.81045278,34,20,0,0,0,3,6,0,0,20,24,2010,0,0,1,0,0,0,0,0
1,109,1,2,0,21,3/5/16,5,3,2016,0,33.04846111,-86.81045278,31,20,0,0,0,3,6,0,0,20,24,2010,0,0,1,0,0,0,0,0
1,112,1,1,1230,49,3/7/16,7,3,2016,0,34.43671111,-85.74123889,22,1,0,0,0,7,14,0,1,2,403,2008,0,0,1,0,0,0,0,99
1,112,1,2,1230,49,3/7/16,7,3,2016,0,34.43671111,-85.74123889,20,1,0,0,0,7,14,0,1,2,403,2008,0,0,1,0,0,0,0,99
1,113,1,1,2100,97,3/8/16,8,3,2016,0,30.68649167,-88.20758889,60,20,0,0,0,3,14,0,0,35,403,2011,0,0,1,0,0,0,0,0
1,114,1,1,0,89,3/8/16,8,3,2016,0,34.96238611,-86.48231944,25,1,0,0,0,3,30,0,1,12,471,2008,0,0,1,28,0,0,0,0
1,117,1,1,2540,1,3/9/16,9,3,2016,0,32.48041944,-86.4356,55,8,0,0,0,7,4,0,0,55,35,2013,0,0,1,28,0,0,0,99
1,117,2,1,2540,1,3/9/16,9,3,2016,0,32.48041944,-86.4356,47,3,0,0,0,3,4,0,0,30,46,2013,0,0,1,0,0,0,0,0
