"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","makename","cellphoneuse"
"1092",3458,6,1,1,18,18,0,11,11,2016,"11/2016",2015,12,"Ford",0
"1093",3500,6,1,1,35,35,0,13,10,2016,"10/2016",2014,12,"Ford",0
"1094",29,8,2,1,41,41,0,2,2,2016,"02/2016",2015,12,"Ford",0
"1095",119,8,1,1,48,48,1,22,4,2016,"04/2016",2015,12,"Ford",0
"1096",124,8,2,1,57,57,0,29,4,2016,"04/2016",2013,12,"Ford",0
"1097",156,8,2,1,69,69,0,11,5,2016,"05/2016",2009,12,"Ford",0
"1098",163,8,1,1,68,68,0,28,5,2016,"05/2016",2008,12,"Ford",0
"1099",172,8,1,1,20,20,0,20,5,2016,"05/2016",2008,12,"Ford",0
"1100",188,8,3,1,39,39,0,9,6,2016,"06/2016",2014,12,"Ford",0
"1101",359,8,2,1,29,29,0,2,9,2016,"09/2016",2010,12,"Ford",0
"1102",379,8,1,1,67,67,0,10,9,2016,"09/2016",2014,12,"Ford",0
"1103",452,8,1,1,22,22,1,14,10,2016,"10/2016",2009,12,"Ford",0
"1104",453,8,1,1,34,34,0,17,10,2016,"10/2016",2010,12,"Ford",0
"1105",471,8,1,1,27,27,0,30,10,2016,"10/2016",2008,12,"Ford",0
"1106",479,8,2,1,65,65,1,14,10,2016,"10/2016",2009,12,"Ford",0
"1107",512,8,1,1,38,38,0,5,11,2016,"11/2016",2008,12,"Ford",0
"1108",514,8,1,1,63,63,1,19,11,2016,"11/2016",2014,12,"Ford",0
"1109",518,8,1,1,47,47,0,17,11,2016,"11/2016",2008,12,"Ford",0
"1110",545,8,1,1,71,71,1,22,12,2016,"12/2016",2009,12,"Ford",0
"1111",9,9,1,1,46,46,1,30,1,2016,"01/2016",2010,12,"Ford",0
"1112",14,9,1,1,40,40,1,13,1,2016,"01/2016",2014,12,"Ford",0
"1113",183,9,1,1,58,58,0,27,9,2016,"09/2016",2008,12,"Ford",0
"1114",190,9,1,1,53,53,0,16,10,2016,"10/2016",2015,12,"Ford",0
"1115",214,9,1,1,57,57,0,23,10,2016,"10/2016",2014,12,"Ford",0
"1116",95,10,1,1,18,18,0,6,7,2016,"07/2016",2009,12,"Ford",1
"1117",111,10,1,1,23,23,0,29,6,2016,"06/2016",2011,12,"Ford",0
"1118",112,10,1,1,71,71,1,21,10,2016,"10/2016",2010,12,"Ford",0
"1119",9,11,2,1,22,22,0,2,7,2016,"07/2016",2010,12,"Ford",0
"1120",17,12,1,1,59,59,1,6,1,2016,"01/2016",2008,12,"Ford",0
"1121",20,12,1,1,29,29,1,30,1,2016,"01/2016",2012,12,"Ford",0
"1122",26,12,2,1,77,77,1,1,1,2016,"01/2016",2010,12,"Ford",0
